OBSID,teacher_turn_idx,teacher_text,student_turn_idx,student_text,matched_keywords,context_window,is_shutdown,confidence,reasoning
246,200,"Hold on. Nope. See, this is where you’re going off again. You have the rectangle, right? And our width is 32 feet.",199,You divide this -,nope,"[student] I divided 72.
[teacher] Where does 72 come from?
[student] You divide this -
[teacher] Hold on. Nope. See, this is where you’re going off again. You have the rectangle, right? And our width is 32 feet. <<<
[teacher] Our length. Forty-five feet. If I’m going to make this into two squares, I’ve now cut it in half. This isn’t 45 feet anymore. This is half of 45. Each of these would be half of 45. What’s half of 45? Figure that out. That’s why, remember I told you – it might not have a whole number? Yes?
[student] Is the width the one on the bottom or the ?",True,0.9,Teacher cuts off student's mathematical approach with dismissive 'this is where you're going off again' without engaging with the student's division reasoning.
246,213,Nope. Not one tenths.,212,One tenth?,nope,"[student] Twenty-two, remainder one.
[teacher] Okay, it’s not going to be 22, remainder one. It’s going to be 22 and -
[student] One tenth?
[teacher] Nope. Not one tenths. <<<
[student] One hundredth?
[teacher] You’re cutting it in half. What do you get when you cut one in half?",True,0.7,Teacher dismisses student's answer 'one tenth' with only 'Nope. Not one tenths' and no explanation or scaffolding.
256,240,Nope. 205 plus 10.,239,.,nope,"[student] Uh hum.
[teacher] Plus 20 equals.
[student] .
[teacher] Nope. 205 plus 10. <<<
[student] That is –
[teacher] Where’s your booklet? Use that. So find 205. Ladies I don’t want to have to split you up or move you away, but I’m getting close Because I don’t see you working. I see a lot of conversation. You can do both – do both. I’m just warning you. So a little better.",True,0.55,"Teacher dismisses inaudible student answer and gives the problem step without engaging with what the student said, though student text is unclear."
267,236,Nope. Can anybody help her out?,235,‘Cause it’s the same.,nope,"[student] Okay.
[teacher] How did you get your other five yards?
[student] ‘Cause it’s the same.
[teacher] Nope. Can anybody help her out? <<<
[student] Eight minus three?
[teacher] Not eight minus three.",True,0.85,Teacher dismisses student's mathematical reasoning ('Cause it's the same') with 'Nope' then immediately moves to another student without engaging.
267,269,"Nope. That one’s probably the – should be the easiest one, Student J. Yes, very good, five times 15. How are you doing?",268,"Yards squared, and then here you have to do 15 minus five.",nope,"[student] 20, I’m sorry.
[teacher] Okay.
[student] Yards squared, and then here you have to do 15 minus five.
[teacher] Nope. That one’s probably the – should be the easiest one, Student J. Yes, very good, five times 15. How are you doing? <<<
[student] Good.
[teacher] Are you getting it?",True,0.85,Teacher dismisses student's mathematical approach and adds dismissive comment 'should be the easiest one' without explaining why subtraction was wrong.
298,232,Nope.,231,$28.50.,nope,"[student] 6.
[teacher] 3 plus 2 is 5 plus 1 is 6. So $66.50. Okay. So we completed Step 2. Last step, take the total and divide it by 5. So what number am I gonna divide by 5?
[student] $28.50.
[teacher] Nope. <<<
[student] 66.
[teacher] $66.50. Why Student K?",True,0.85,Teacher gives bare 'Nope' dismissal to student's mathematical answer with no explanation or scaffolding.
539,274,Nope.,273,And zero point zero –,nope,"[student] Hundredths.
[teacher] Good.
[student] And zero point zero –
[teacher] Nope. <<<
[student] Zero point eight –
[teacher] Don’t say zero, say eighty-five.",True,0.55,Teacher gives bare 'Nope' to student's attempt to read a decimal number with no scaffolding or explanation.
559,358,Mm-mmm. This one’s a hard one. I said no. Nope. Nope. Yes.,357,I know because it has –,nope,"[student] 5.3.
[teacher] 5.3. Good, another one. This one’s tricky.
[student] I know because it has –
[teacher] Mm-mmm. This one’s a hard one. I said no. Nope. Nope. Yes. <<<
[teacher] Not for everyone. Five or more, add one more. All right, this one’s tricky. Which number do we circle, Student J?
[student] The 9.",True,0.75,Teacher cuts off student's attempt to explain mathematical reasoning about rounding with repeated dismissals.
560,324,Nope.,323,Can I go like that?,nope,"[teacher] So you go to Dallas to Florida? So show me.
[teacher] How do you get to Florida from there?
[student] Can I go like that?
[teacher] Nope. <<<
[student] Man, I give up.
[teacher] All right here is Orlando. So you went from zero to Orlando and you go 1,090 miles.",True,0.6,Teacher gives bare 'Nope' to student's question about map navigation without explaining why that route doesn't work.
620,405,Nope.,404,4.,nope,"[multiple students] Quarts.
[teacher] Quarts. So how could 2 cups equal 8 quarts? You see the problem there?
[student] 4.
[teacher] Nope. <<<
[student] <inaudible>
[teacher] Nope. Hmm?",True,0.8,Teacher gives bare 'Nope' to student's numerical answer with no explanation or scaffolding.
736,265,Nope. We’re doing how many colored in.,264,One-fifth.,nope,"[student] Two-thirds.
[student] Ooh. That’s the one I picked.
[student] One-fifth.
[teacher] Nope. We’re doing how many colored in. <<<
[student] Oh.
[teacher] How many are colored?",True,0.65,Teacher dismisses student's fraction answer with minimal redirection and no engagement with why one-fifth was offered.
750,97,Nope.,96,"Two, two.",nope,"[student] Down two times.
[teacher] Down two times, one two. Now what is the coordinates for the store?
[student] Two, two.
[teacher] Nope. <<<
[student] Three and two.
[teacher] Who says three, two? Student K, three two because I’m still starting at zero goin’ across three and then up two. Good job. When I pick your name you can get a laptop and practice on a computer. The rest of us are gonna start off on the paper and then we’ll switch. Student J, you get a laptop. Student J, Student T. Two more. Student K. One more. Student P is not here. One more. Student M. Everybody’s gonna do it, just –",True,0.75,"Teacher gives bare 'Nope' to student's coordinate answer without explaining why (2,2) is incorrect."
821,394,Nope. Student D?,393,"624, oh, never mind.",nope,"[student] Oh.
[teacher] Ready? “Ramona likes to go hiking once a week. Her favorite trail is 12 miles long. She hiked that trail 52 times last year. About how many total miles did Ramona hike?” Student S?
[student] 624, oh, never mind.
[teacher] Nope. Student D? <<<
[student] Um, 500 miles.
[teacher] Correct. You all would lose 50 points, ’cause you tried first and lost.",True,0.85,Teacher dismisses student's answer with 'Nope' then immediately calls on another student without engaging with reasoning.
821,584,"Nope. What do you need to multiply, Student T?",583,you need to multiply 400 times –,nope,"[student] It’s C.
[teacher] Here’s the reason why. What two numbers do you need to multiply, Student C?
[student] you need to multiply 400 times –
[teacher] Nope. What do you need to multiply, Student T? <<<
[student] 59 times 8.
[teacher] Nope.",True,0.8,Teacher dismisses student's mathematical approach and immediately redirects to another student without engaging with the reasoning.
821,586,Nope.,585,59 times 8.,nope,"[student] you need to multiply 400 times –
[teacher] Nope. What do you need to multiply, Student T?
[student] 59 times 8.
[teacher] Nope. <<<
[student] Oh, what?
[student] About.",True,0.85,Teacher gives bare 'Nope' to student's multiplication answer with no explanation or scaffolding.
826,62,Nope. Raise your hand. Student C?,61,One half.,nope,"[teacher] The formula for volume is length times width and there's one other piece, times does anybody know?
[student] Area.
[student] One half.
[teacher] Nope. Raise your hand. Student C? <<<
[student] Area.
[teacher] No. Remember, we're measuring how much space a solid figure occupies. So this is not measuring – we can't measure volume with this. This is the area. If we wanted to measure volume we would have to do something else to this figure. What would we have to do?",True,0.8,Teacher dismisses student's answer 'one half' for volume formula and calls on another student without explanation.
