OBSID,teacher_turn_idx,teacher_text,student_turn_idx,student_text,matched_keywords,context_window,is_shutdown,confidence,reasoning
246,200,"Hold on. Nope. See, this is where you’re going off again. You have the rectangle, right? And our width is 32 feet.",199,You divide this -,nope,"[teacher] All right, Student X, so you did that?  Did you get the same answer?
[student] As a hundred and – 1, 440?
[teacher] Yeah.
[student] Yeah.  I divided by two and -
[teacher] And then you showed that here?  So that [Inaudible] became? What was the length again, on that?  Forty – thirty-two? So what’s 32, in half?
[student] Thirty-two is -
[teacher] The reason I asked you that is because, one, you have 36 here, and I’m not sure where that came from.
[student] I divided 72.
[teacher] Where does 72 come from?
[student] You divide this -
[teacher] Hold on.  Nope.  See, this is where you’re going off again. You have the rectangle, right?  And our width is 32 feet. <<<
[teacher] Our length.  Forty-five feet.  If I’m going to make this into two squares, I’ve now cut it in half.  This isn’t 45 feet anymore.  This is half of 45.  Each of these would be half of 45.  What’s half of 45?  Figure that out.  That’s why, remember I told you – it might not have a whole number? Yes?
[student] Is the width the one on the bottom or the [Inaudible]?",True,0.9,Teacher cuts off student's mathematical approach with dismissive 'this is where you're going off again' without engaging with the student's division reasoning.
246,213,Nope. Not one tenths.,212,One tenth?,nope,"[teacher] Width.  Length.  Okay.  I saw you working on the summary, but I didn’t see anything on step four.  So, what did you get for your answers on – for step number three?
[student] The rectangle [Inaudible].
[teacher] And then on number two, you need to label it, right?  So how do you label that?  It would be square?
[student] [Inaudible].
[teacher] Good.  And then circle.  It looks like you used a good formula, there.  How do you need to label that?  And then I just got you guys [Inaudible] on how to do this a different way. Starting with the rectangle.  What could you do to the rectangle?
[student] Cut it in half.
[teacher] All right.  Do those things.  Then work on each summary.  What did you get, Student F?
[student] Twenty-two, remainder one.
[teacher] Okay, it’s not going to be 22, remainder one.  It’s going to be 22 and -
[student] One tenth?
[teacher] Nope.  Not one tenths. <<<
[student] One hundredth?
[teacher] You’re cutting it in half.  What do you get when you cut one in half?",True,0.7,Teacher dismisses student's answer 'one tenth' with only 'Nope. Not one tenths' and no explanation or scaffolding.
256,240,Nope. 205 plus 10.,239,.,nope,"[teacher] Get to work.  Any three you want.  Let’s start with two.  Let’s do that.  205.
[student] Uh hum.
[teacher] So in the next do 205.
[student] This one?
[teacher] No.  Equation.
[student] I had a [full] four.
[teacher] That’s alright.  Choose three of them, or two of them.
[student] Uh hum.
[teacher] Plus 20 equals.
[student] [Inaudible].
[teacher] Nope.  205 plus 10. <<<
[student] That is –
[teacher] Where’s your booklet?  Use that.  So find 205.  Ladies I don’t want to have to split you up or move you away, but I’m getting close  Because I don’t see you working.  I see a lot of conversation.  You can do both – do both.  I’m just warning you.  So [inaudible] a little better.",True,0.55,"Teacher dismisses inaudible student answer and gives the problem step without engaging with what the student said, though student text is unclear."
267,236,Nope. Can anybody help her out?,235,‘Cause it’s the same.,nope,"[student] Make the formula.
[teacher] Mm hmm.  You ought to be writing this down since you didn’t do it.  How are you gonna know how to do it if you’re not taking notes? So she said her area is length times width, and area is eight times seven – or length and width is eight times seven, and you get 56 yards squared.  Okay, good job. You’re on the right track.  Keep going. Okay, where did you get your first five yards?
[student] Right here, ‘cause it’s equal to this.
[teacher] Okay, you don’t necessarily know that.  It is five yards, but the way that you got it is not correct.  You can call on someone.
[student] Student D.
[student] Five times [inaudible] two is five.
[teacher] Yeah, so you take this length minus this that’s already given to you to get that, which is five.  Good – good job, Student D.  So it is five yards, but you just needed to know the correct way to get it.
[student] Okay.
[teacher] How did you get your other five yards?
[student] ‘Cause it’s the same.
[teacher] Nope.  Can anybody help her out? <<<
[student] Eight minus three?
[teacher] Not eight minus three.",True,0.85,Teacher dismisses student's mathematical reasoning ('Cause it's the same') with 'Nope' then immediately moves to another student without engaging.
267,269,"Nope. That one’s probably the – should be the easiest one, Student J. Yes, very good, five times 15. How are you doing?",268,"Yards squared, and then here you have to do 15 minus five.",nope,"[teacher] Mm hmm.
[student] And then –
[teacher] Tell us what you’re doing.
[student] You have to get five times four, and it equals 12 yards squared.
[teacher] Five times four equals what?
[student] 20.
[teacher] 20.
[student] 20, I’m sorry.
[teacher] Okay.
[student] Yards squared, and then here you have to do 15 minus five.
[teacher] Nope.  That one’s probably the – should be the easiest one, Student J.  Yes, very good, five times 15.  How are you doing? <<<
[student] Good.
[teacher] Are you getting it?",True,0.85,Teacher dismisses student's mathematical approach and adds dismissive comment 'should be the easiest one' without explaining why subtraction was wrong.
298,232,Nope.,231,$28.50.,nope,"[teacher] Because there's two numbers after the decimal point up here. Remember, we start at the right and move towards the left. So we start here and we go 1, 2.  Okay?  All right.  So we add this now to $38.00.  Okay.  0 plus 0 is?
[student] Zero.
[teacher] 0 plus 5?
[student] 5.
[teacher] Put my decimal point.  8 plus 8?
[student] 16.
[teacher] Put my ones down, carry the tens.
[student] 6.
[teacher] 3 plus 2 is 5 plus 1 is 6.  So $66.50.  Okay.  So we completed Step 2.  Last step, take the total and divide it by 5.  So what number am I gonna divide by 5?
[student] $28.50.
[teacher] Nope. <<<
[student] 66.
[teacher] $66.50.  Why Student K?",True,0.85,Teacher gives bare 'Nope' dismissal to student's mathematical answer with no explanation or scaffolding.
539,274,Nope.,273,And zero point zero –,nope,"[teacher] So, you’re going to be working in partners and the first one says to answer the question below – hurry up with the tearing out, please – and everyone should agree on what the answer is.  So, both of you in the group should agree on what the answer is.  Read number two, please, Student T.
[student] [Inaudible]
[teacher] So you’re going to make a poster that’s going to say your answer and show how you added the numbers.  Go ahead Student J.
[student] Janet is a [jeweler].  When she makes [new] jewelry or redesigns jewelry she is often [Inaudible]with [multiple]. At the end of one day [Inaudible]Janet had pieces of gold that weighed [Inaudible]three [grams] –
[teacher] Say three-tenths.
[student] Three-tenths and one point –
[teacher] Nope, one and…
[student] Hundredths.
[teacher] Good.
[student] And zero point zero –
[teacher] Nope. <<<
[student] Zero point eight –
[teacher] Don’t say zero, say eighty-five.",True,0.55,Teacher gives bare 'Nope' to student's attempt to read a decimal number with no scaffolding or explanation.
559,358,Mm-mmm. This one’s a hard one. I said no. Nope. Nope. Yes.,357,I know because it has –,nope,"[teacher] It’s five or more, add one more.  What number’s this?  Is it bigger than five or smaller than five?
[multiple students] Smaller.
[teacher] Smaller than five.  So what happens when it’s smaller than five?  Four or less, just?
[multiple students] Ignore.
[teacher] Ignore, which means what?  It stays the?
[multiple students] Same.
[teacher] Same.  So what does the decimal change to?  If it stays the same, this number stays the same – doesn’t change.  So what’s my decimal?
[student] 5.3.
[teacher] 5.3.  Good, another one.  This one’s tricky.
[student] I know because it has – [inaudible]
[teacher] Mm-mmm.  This one’s a hard one.  I said no.  Nope.  Nope.  Yes. <<<
[student] [Inaudible]
[teacher] Not for everyone.  Five or more, add one more.  All right, this one’s tricky.  Which number do we circle, Student J?",True,0.75,Teacher cuts off student's attempt to explain mathematical reasoning about rounding with repeated dismissals.
560,324,Nope.,323,Can I go like that?,nope,"[student] Shut up, please.
[teacher] All right, so you started in Boston, then to Orlando and up in Los Angeles.  So we get this together.  So now where are you gonna start a trip?  You’re gonna do another trip.  Do number two now.  Trip two.
[student] I’m not even done.
[teacher] We’ll help you.  Okay, so from you went from Texas to Dallas to Florida.  Honey, wake up.  All right, so where’s Texas? How did you start off?  Why did you start off in Texas? Show me?  What number did you start off at?  Yep. [Inaudible]  You haven’t gone anywhere, so there can be no more miles.  There can be no miles there if you haven’t gone anywhere.  So what number do you have to start at?
[student] Then go Denver, Colorado.
[teacher] Zero.  Now where are you going?
[student] Done.
[teacher] So you go to Dallas to Florida?  So show me.
[teacher] How do you get to Florida from there?
[student] Can I go like that?
[teacher] Nope. <<<
[student] Man, I give up.
[teacher] All right here is Orlando.  So you went from zero to Orlando and you go 1,090 miles.",True,0.6,Teacher gives bare 'Nope' to student's question about map navigation without explaining why that route doesn't work.
620,405,Nope.,404,4.,nope,"[teacher] One what?
[multiple students] Pint.
[teacher] Pint, good job.  Okay, well 2 cups it equals 16 what Student C?
[student] <inaudible>.
[teacher] You got it; fluid ounces.  2 cups, hmmm.  How many cups does 2 cups equal?
[student] 8.
[teacher] Nope.  Quick question; which one is larger quarts or cups?
[multiple students] Quarts.
[teacher] Quarts.  So how could 2 cups equal 8 quarts?  You see the problem there?
[student] 4.
[teacher] Nope. <<<
[student] <inaudible>
[teacher] Nope.   Hmm?",True,0.8,Teacher gives bare 'Nope' to student's numerical answer with no explanation or scaffolding.
