OBSID,teacher_turn_idx,teacher_text,student_turn_idx,student_text,alt_dialogic_teaching,alt_productive_failure,alt_uptake,alt_pressing_for_reasoning
246,200,"Hold on. Nope. See, this is where you’re going off again. You have the rectangle, right? And our width is 32 feet.",199,You divide this -,[teacher] I’m interested in that 72. Can you walk me through where that number came from and what you were thinking when you decided to divide it?,"[teacher] Okay, let’s follow that. If you divide 72, how does that result compare to the 32-foot width we have on our diagram? Try to see if those two numbers work together or if it changes the area you're trying to find.","[teacher] Okay, so you’re dividing to get 72. Walk us through where that 72 is coming from and how it connects to our width of 32.",Can you walk me through how you arrived at 72 and how that number connects to the dimensions of the rectangle we're looking at?
246,213,Nope. Not one tenths.,212,One tenth?,How did you decide that the remainder of one should be written as one tenth?,"Take a look at your divisor. If you have one left over, how can you use that divisor to figure out what fraction that remainder actually represents?","""One tenth? I see you’re trying to turn that remainder into a fraction—looking back at our divisor, how did you decide that the one should be out of ten?""",How did you decide that the remainder of one should be written as one tenth?
256,240,Nope. 205 plus 10.,239,.,Tell me more about how you worked that out.,"[teacher] Go ahead and try that. Once you have your answer, how can you check it against the 205 we started with to see if you really added 20?","[teacher] I see you’re thinking of 10. If we start by adding that 10 to 205, how does that help us figure out the total for 20?",How did you figure that out? Walk me through the steps you took to get to that number.
267,236,Nope. Can anybody help her out?,235,‘Cause it’s the same.,Tell me more about which sides you’re looking at—what makes you think they have to be the same length?,"It might look that way, but let’s look at the measurements we already have. If the total distance across the bottom is ten yards, and we know this top part is five, how can we use those numbers to prove that the missing piece has to be five?","It definitely looks like it's the same length. If we look at the total side length and the pieces we already know, what math can we do to prove that it has to be the same?",How can you use the other measurements on the diagram to prove that those two sides are actually the same?
267,269,"Nope. That one’s probably the – should be the easiest one, Student J. Yes, very good, five times 15. How are you doing?",268,"Yards squared, and then here you have to do 15 minus five.","[teacher] Okay, 15 minus five. Walk us through your thinking there—what does that calculation represent in the problem?","[teacher] Okay, let's follow that. If you subtract five from 15, look at your diagram—what part of the shape does that 10 represent, and how does that help you find the area for that section?",So you’re looking at the 15 and the five—talk us through why subtracting those two numbers is your next step for finding the missing side.,Can you explain why you’re subtracting five from 15? How does that step help you find the next part of the area?
298,232,Nope.,231,$28.50.,Tell me more about your thinking—how did you decide on $28.50 for the number we’re dividing?,"Take a look at the $66.50 we just calculated. If we go back and divide the $28.50, what happens to that $38.00 we just added in?","""You're looking back at the $28.50 we just added; if we want to divide the new total that we got from combining those numbers, which amount represents our final sum?""",How did you decide to use $28.50 instead of the total we just calculated?
539,274,Nope.,273,And zero point zero –,"""You're reading the digits there—how could you say that value using the place value names, like you did for the last number?""","Take a look at how we named the first two numbers. If you try to name this one using those same place value rules instead of saying ""point,"" what would it sound like?","So you’re reading the digits ""zero point zero""—based on the place values we just talked about, how would we say that entire value?","How would you name that value using the place value positions, just like you did with the last one?"
559,358,Mm-mmm. This one’s a hard one. I said no. Nope. Nope. Yes.,357,I know because it has –,"""What did you notice it has? Tell us more about what you were seeing there.""","Tell me more about what you’re seeing. If you follow that idea, what would our new number look like? Let's look at that result and see if it fits with our rule for numbers that are four or less.",You’re noticing something specific about how this number is set up. Tell us more—what is it about those digits that makes you think this one will be different from the last one?,Tell us more about that—how did you use the digits in the number to decide that it stays the same?
560,324,Nope.,323,Can I go like that?,Tell me more about that route—what do you notice about the path you're taking?,"Try it out and see what happens—if you go that way, how will you check if the total miles still match your plan?","If you take that route, how do you think that path changes the total number of miles you’ll need to travel to get to Florida?",Tell me more about why you’re thinking of going that way—how would that path help you reach your destination?
620,405,Nope.,404,4.,8? Walk me through your thinking; what are you counting there?,"8? Let’s look at the containers on your desk. If you pour those 2 cups into the quart jar, does that match up with your idea of 8, or do you notice a problem when you compare their sizes?",You're thinking of 4; what unit are you thinking of that is made up of 4 cups?,How did you come up with 4?
